0.000000000000000000e+00 1.000000000000000000e+01 1.000000000000000000e+01 1.000000000000000000e+01 1.000000000000000056e-01 1.000000000000000056e-01 1.000000000000000056e-01
1.000000000000000056e-01 1.001001670379659281e+01 1.001001670379659281e+01 9.960776943602946076e+00 1.003344481605425165e-01 1.003344481605425165e-01 -8.801972420015047316e-01
2.000000000000000111e-01 1.002006696445275225e+01 1.002006696445275225e+01 9.825819197535432536e+00 1.006711409396229689e-01 1.006711409396229689e-01 -1.805104456279230440e+00
3.000000000000000444e-01 1.003015100756209499e+01 1.003015100756209499e+01 9.603245109347394504e+00 1.010101010102015390e-01 1.010101010102015390e-01 -2.626098748813537220e+00
4.000000000000000222e-01 1.004026906100129324e+01 1.004026906100129324e+01 9.304985910928911252e+00 1.013513513516717535e-01 1.013513513516717535e-01 -3.316246037398430158e+00
5.000000000000000000e-01 1.005042135496126221e+01 1.005042135496126221e+01 8.944548710867422869e+00 1.016949152550826185e-01 1.016949152550826185e-01 -3.870342919688836147e+00
6.000000000000000888e-01 1.006060812197488019e+01 1.006060812197488019e+01 8.535106898030972999e+00 1.020408163280607239e-01 1.020408163280607239e-01 -4.299023943196103481e+00
7.000000000000000666e-01 1.007082959695669366e+01 1.007082959695669366e+01 8.088294123752698184e+00 1.023890785010078408e-01 1.023890785010078408e-01 -4.621263453093121143e+00
8.000000000000000444e-01 1.008108601722708997e+01 1.008108601722708997e+01 7.613692904627966662e+00 1.027397260317851752e-01 1.027397260317851752e-01 -4.858286437257039125e+00
9.000000000000000222e-01 1.009137762254519544e+01 1.009137762254519544e+01 7.118814919974453481e+00 1.030927835114160557e-01 1.030927835114160557e-01 -5.029857388210650093e+00
1.000000000000000000e+00 1.010170465515078853e+01 1.010170465515078853e+01 6.609344521073638568e+00 1.034482758705490835e-01 1.034482758705490835e-01 -5.152615305941728785e+00
